D:\software\anaconda\envs\POP-net\python.exe E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py 
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:17: DeprecationWarning: Please use `maximum_filter` from the `scipy.ndimage` namespace, the `scipy.ndimage.filters` namespace is deprecated.
  from scipy.ndimage.filters import maximum_filter
E:\POPnet\POP_Net_Superpoint-master\train_POP_net.py:18: DeprecationWarning: Please use `binary_dilation` from the `scipy.ndimage` namespace, the `scipy.ndimage.morphology` namespace is deprecated.
  from scipy.ndimage.morphology import binary_dilation
## ep:0 iter:2/4999 ##  loss_detection:1.325  loss_description:0.2440  loss_informativeness:0.0000 
  loss_det_foreground:0.5127  loss_det_background:0.4457  repeatability:1.4363  point_number:433.55 

## ep:0 iter:6/4999 ##  loss_detection:1.047  loss_description:0.2405  loss_informativeness:0.0000 
  loss_det_foreground:0.4062  loss_det_background:0.4628  repeatability:1.4199  point_number:236.92 

## ep:0 iter:10/4999 ##  loss_detection:1.019  loss_description:0.2067  loss_informativeness:0.0000 
  loss_det_foreground:0.4074  loss_det_background:0.4462  repeatability:1.5475  point_number:209.27 

## ep:0 iter:14/4999 ##  loss_detection:1.017  loss_description:0.2108  loss_informativeness:0.0000 
  loss_det_foreground:0.4418  loss_det_background:0.4172  repeatability:1.5008  point_number:186.91 

## ep:0 iter:18/4999 ##  loss_detection:0.968  loss_description:0.2045  loss_informativeness:0.0000 
  loss_det_foreground:0.4387  loss_det_background:0.4040  repeatability:1.5891  point_number:232.94 

## ep:0 iter:22/4999 ##  loss_detection:0.940  loss_description:0.1988  loss_informativeness:0.0000 
  loss_det_foreground:0.3889  loss_det_background:0.3749  repeatability:1.7854  point_number:182.16 

## ep:0 iter:26/4999 ##  loss_detection:0.938  loss_description:0.1934  loss_informativeness:0.0000 
  loss_det_foreground:0.3938  loss_det_background:0.3586  repeatability:1.7659  point_number:177.11 

## ep:0 iter:30/4999 ##  loss_detection:1.230  loss_description:0.1938  loss_informativeness:0.0000 
  loss_det_foreground:0.4174  loss_det_background:0.3390  repeatability:1.8005  point_number:176.71 

## ep:0 iter:34/4999 ##  loss_detection:0.819  loss_description:0.1915  loss_informativeness:0.0000 
  loss_det_foreground:0.3457  loss_det_background:0.3335  repeatability:2.0827  point_number:175.78 

## ep:0 iter:38/4999 ##  loss_detection:0.935  loss_description:0.1958  loss_informativeness:0.0000 
  loss_det_foreground:0.4078  loss_det_background:0.3171  repeatability:1.9993  point_number:198.08 

## ep:0 iter:42/4999 ##  loss_detection:1.088  loss_description:0.1999  loss_informativeness:0.0000 
  loss_det_foreground:0.3803  loss_det_background:0.3022  repeatability:1.7114  point_number:157.46 

## ep:0 iter:46/4999 ##  loss_detection:1.235  loss_description:0.1916  loss_informativeness:0.0000 
  loss_det_foreground:0.3868  loss_det_background:0.2857  repeatability:2.0891  point_number:183.24 

## ep:0 iter:50/4999 ##  loss_detection:0.858  loss_description:0.1926  loss_informativeness:0.0000 
  loss_det_foreground:0.4275  loss_det_background:0.2856  repeatability:2.0012  point_number:202.79 

## ep:0 iter:54/4999 ##  loss_detection:0.813  loss_description:0.1908  loss_informativeness:0.0000 
  loss_det_foreground:0.4009  loss_det_background:0.2729  repeatability:2.3132  point_number:206.76 

## ep:0 iter:58/4999 ##  loss_detection:0.797  loss_description:0.1866  loss_informativeness:0.0000 
  loss_det_foreground:0.3516  loss_det_background:0.3103  repeatability:2.2463  point_number:207.01 

## ep:0 iter:62/4999 ##  loss_detection:0.784  loss_description:0.1901  loss_informativeness:0.0000 
  loss_det_foreground:0.3558  loss_det_background:0.2927  repeatability:2.1953  point_number:194.31 

## ep:0 iter:66/4999 ##  loss_detection:0.823  loss_description:0.1892  loss_informativeness:0.0000 
  loss_det_foreground:0.3468  loss_det_background:0.2811  repeatability:2.3273  point_number:184.91 

## ep:0 iter:70/4999 ##  loss_detection:0.905  loss_description:0.1892  loss_informativeness:0.0000 
  loss_det_foreground:0.3835  loss_det_background:0.2815  repeatability:2.0476  point_number:235.16 

## ep:0 iter:74/4999 ##  loss_detection:1.173  loss_description:0.1895  loss_informativeness:0.0000 
  loss_det_foreground:0.3727  loss_det_background:0.2646  repeatability:1.9546  point_number:214.54 

## ep:0 iter:78/4999 ##  loss_detection:0.778  loss_description:0.1905  loss_informativeness:0.0000 
  loss_det_foreground:0.3096  loss_det_background:0.2898  repeatability:2.1066  point_number:221.20 

## ep:0 iter:82/4999 ##  loss_detection:0.786  loss_description:0.1885  loss_informativeness:0.0000 
  loss_det_foreground:0.3855  loss_det_background:0.2862  repeatability:1.9306  point_number:283.59 

## ep:0 iter:86/4999 ##  loss_detection:0.631  loss_description:0.1879  loss_informativeness:0.0000 
  loss_det_foreground:0.3341  loss_det_background:0.2475  repeatability:2.3011  point_number:266.68 

## ep:0 iter:90/4999 ##  loss_detection:0.716  loss_description:0.1878  loss_informativeness:0.0000 
  loss_det_foreground:0.3392  loss_det_background:0.2753  repeatability:2.1328  point_number:241.53 

## ep:0 iter:94/4999 ##  loss_detection:0.794  loss_description:0.1891  loss_informativeness:0.0000 
  loss_det_foreground:0.3433  loss_det_background:0.2866  repeatability:2.4250  point_number:298.98 

## ep:0 iter:98/4999 ##  loss_detection:0.665  loss_description:0.1874  loss_informativeness:0.0000 
